Last Name,First Name,Date of Birth,Age,NHS No,Address,Date of death,CMS No,Name of housing officer,Supported housing,Social housing,Name of housing provider,Service/Event Desc,Service/Event Start,Service/Event End
Mullins,Rodney,2000-11-05,22,58,"350 Adrian Inlet Suite 041 Susanfurt, RI 76806",1975-12-03,4,administration,No,Yes,nature,hospital,1958-01-08,1998-06-23
Peterson,Charles,1992-01-19,31,83,"3662 Angela Shore Jaredburgh, MI 04813",1963-07-19,48,right,Yes,No,growth,executive,1959-06-11,1975-10-10
Lee,Amanda,1980-01-25,43,75,"91291 Wendy Ports Port Glennfort, MT 87776",1995-07-03,59,use,Yes,Yes,country,above,1958-02-03,1982-01-18
Travis,Kathleen,1979-02-09,44,59,"7427 Jennifer Centers Apt. 896 West Jacquelinestad, KS 93440",1985-11-22,35,at,Yes,No,state,result,1993-07-23,1965-07-12
Torres,Patty,1971-04-11,52,23,"4851 Bridget Ford West Richardfurt, NY 81340",1979-09-29,63,three,Yes,No,end,move,1995-06-08,2003-12-08
Brown,Gina,1961-12-27,61,8,"3481 Taylor Stream Port David, NV 52648",1970-07-31,9,effect,Yes,No,require,visit,1966-10-21,1957-10-22
Morris,Darryl,1993-01-27,30,88,"57427 Dixon Locks Apt. 973 West Russell, PW 51354",1975-01-23,7,under,Yes,Yes,small,much,1986-08-15,1999-05-31
Gamble,Philip,1981-01-28,42,18,"354 Douglas Loaf Port Randall, NH 99146",1958-01-05,65,their,No,Yes,however,similar,1991-07-29,1973-10-31
Nichols,Michelle,1971-08-28,52,1,"73827 Jerry Groves Suite 283 Jacobmouth, CO 32332",1992-09-02,52,election,No,No,fall,team,1958-08-15,1999-06-11
Marquez,Tara,1946-04-30,77,6,"6267 Timothy Greens East Sarah, TN 04171",1977-12-28,90,in,No,No,evidence,manager,1985-12-15,1982-01-08
Sullivan,Robin,1989-10-09,34,68,"PSC 3149, Box 0642 APO AE 44318",1989-06-07,48,type,No,No,once,why,2001-09-23,1968-01-02
Morgan,Joshua,1957-05-17,66,72,"1060 Gardner Grove Apt. 531 Lisaburgh, ME 10401",1981-11-02,59,approach,No,No,fact,while,1986-05-16,1994-07-22
