Cms Id,First Name,Last Name,Date Of Birth,Gender,Address,Service Involvement,Local Authority Organisation,Contact Name,Contact Role,Contact Phone,Contact Email,Date Current As Of,Coverage Start Date,Coverage End Date,Coverage Geographic Area,Date Of Most Recent Interaction,Start Date Of Last Involvement
7190247,Martin,Taylor,2011-12-13,Male,"Flat 78m
Sally mall
Daviesmouth
G6T 3BF",Historic,Barnet Council,Alex Chambers,Social Worker,(0909) 879 0320,achambers@barnet.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-07-07,2018-08-23
5466968,Leanne,Clarke,2014-07-28,Female,"639 Adam glens
Lake Stephenbury
B86 0LF",Historic,Tower Hamlets Council,Mr Dominic Black,Social Worker,+44(0)1632 960 167,mblack@towerhamlets.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-08-24,2022-02-17
6320131,Geraldine,Kerr,2006-08-14,Female,"Flat 46
Evans lock
Justinchester
N2 4EG",Current,Wandsworth Council,Mrs Jacqueline O'Brien,Social Worker,+44(0)29 2018 0189,mo'brien@wandsworth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-01-03,2018-09-28
3305798,Diane,James,2007-10-02,Female,"Flat 84V
Owen forest
Lindseymouth
BL5 6LR",Current,Southwark Council,Ms Leah White,Social Worker,0118 496 0033,mwhite@southwark.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-05-27,2021-05-03
3066145,Samuel,Cooper,2012-01-07,Male,"95 Evans park
Lake Mark
HP83 8QH",Current,Wandsworth Council,Miss Lindsey Potts,Social Worker,(0118) 496 0505,mpotts@wandsworth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-06-24,2018-02-23
1234914,Kirsty,Pratt,2006-06-29,Female,"Flat 0
Pope vista
Pageshire
MK8N 6WX",Historic,Sutton Council,Shannon Stewart,Social Worker,(01632) 960644,sstewart@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-07-10,2018-04-02
5305499,Katherine,Tucker,2006-10-07,Female,"55 Francis neck
Port Marianbury
HP8R 0GH",Historic,Islington Council,Dr Dominic Collins,Social Worker,0131 4960665,dcollins@islington.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-09-18,2018-02-21
8935202,Maureen,Smith,2008-06-23,Female,"Flat 43
Smart gateway
Lake Charlieport
W1G 4ZZ",Historic,Harrow Council,Miss Susan Holden,Social Worker,+44116 4960759,mholden@harrow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-12-20,2022-04-15
6961224,Eileen,Bibi,2015-11-09,Female,"Flat 36
Parry knolls
Lloydton
ZE34 3GG",Current,Greenwich Council,Jade Scott,Social Worker,(0115)4960818,jscott@greenwich.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-06-10,2022-05-11
1049790,Marie,Edwards,2014-04-10,Female,"42 Jordan mill
Bartlettshire
WC9 8YS",Current,Wandsworth Council,Sally Lewis-Austin,Social Worker,01174960824,slewis-austin@wandsworth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-05-23,2018-03-28
5645884,Helen,Bryant,2008-08-07,Female,"Studio 46
Bradley pines
Kennethtown
KY7W 8AG",Current,Croydon Council,Mrs Karen Saunders,Social Worker,+44(0)1184960019,msaunders@croydon.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-11-07,2020-10-20
1186328,Marie,Hughes,2009-12-29,Female,"26 Bernard tunnel
Port Hannahmouth
W5 0YB",Historic,Barnet Council,Dr Michael Jones,Social Worker,(0114) 4960679,djones@barnet.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-04-08,2022-09-09
7885603,Iain,Mitchell,2011-05-25,Male,"68 Jade extension
Lyonsfurt
BB72 2YP",Current,Camden Council,Dr Jeffrey Murphy,Social Worker,(0116)4960261,dmurphy@camden.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-03-14,2019-06-14
4798460,Malcolm,Allen,2011-03-06,Male,"Flat 18
Singh port
Kirstyberg
E5C 6DS",Historic,Lambeth Council,Julia Chadwick-Francis,Social Worker,+44909 879 0686,jchadwick-francis@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-08-17,2018-06-06
7500105,Brandon,Herbert,2008-09-08,Male,"Studio 79i
Adams circles
Lake Helen
WR5 5PW",Current,Sutton Council,Rebecca Ingram-Green,Social Worker,(0117) 4960968,ringram-green@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-10-06,2022-03-27
5787139,Daniel,Dickinson,2011-05-30,Male,"Flat 08z
Simpson port
New Reece
LA8N 7RG",Current,Islington Council,Fiona Bradshaw,Social Worker,+44117 496 0609,fbradshaw@islington.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-03-01,2020-05-30
2461952,Teresa,Lawrence,2008-08-16,Other,"Studio 6
Carolyn viaduct
O'Brienside
BT6 7EQ",Historic,Bexley Council,Beverley Briggs,Social Worker,+44(0)1214960723,bbriggs@bexley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-06-02,2019-02-03
2185454,Louise,Ford,2015-02-14,Female,"Studio 73
Jayne grove
South Russell
L15 7FE",Historic,Sutton Council,Alan Whittaker,Social Worker,01174960607,awhittaker@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-05-10,2020-09-09
3629034,Jayne,Brennan,2014-11-08,Female,"Flat 49O
Connor plaza
Gerardborough
G5G 9NY",Current,Redbridge Council,Rosie Todd,Social Worker,+44(0)1414960528,rtodd@redbridge.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-07-11,2021-05-23
9269117,Julie,Gill,2014-10-08,Female,"08 Rogers freeway
Newtonborough
B12 7EB",Historic,Sutton Council,Clive Warren,Social Worker,0161 496 0368,cwarren@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-09-18,2021-11-24
1042766,Jay,Green,2012-08-09,Male,"Flat 64
Kerry junction
Harperton
TW3R 6GQ",Current,Lambeth Council,Georgia Jones,Social Worker,0113 496 0012,gjones@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-08-01,2018-01-09
2378436,Carl,Waters,2007-11-09,Male,"Studio 78
Marilyn lane
Juliechester
SS67 9ZP",Current,Bexley Council,Terence Walker,Social Worker,+44(0)121 4960990,twalker@bexley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-06-12,2020-01-09
6373010,Joanna,Mann,2011-04-16,Female,"Flat 24G
Smith passage
Port Eric
CV2Y 3RG",Historic,Redbridge Council,Elliot Day,Social Worker,+44161 496 0905,eday@redbridge.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-09-20,2022-09-05
8070895,Thomas,Hussain,2013-08-16,Male,"9 Knowles creek
South Gemma
AL1N 9EL",Historic,Sutton Council,Barry Brennan,Social Worker,+4420 7496 0401,bbrennan@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-08-18,2018-04-07
3639178,Carol,Gardiner,2017-09-08,Female,"658 Jeremy union
West Sarahbury
CV8 2XJ",Historic,Sutton Council,Dean Smith,Social Worker,+44(0)117 496 0365,dsmith@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-05-27,2019-02-18
7505543,Eleanor,Marshall,2015-04-25,Female,"1 Davies forge
Pagefurt
N8 1QW",Current,Sutton Council,Adam Woodward-Austin,Social Worker,+441514960055,awoodward-austin@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-05-12,2018-04-07
