Cms Id,First Name,Last Name,Date Of Birth,Gender,Address,Service Involvement,School Name,Contact Number,Admission Type,Date Current As Of,Coverage Start Date,Coverage End Date,Coverage Geographic Area,Date Of Most Recent Interaction,Start Date Of Last Involvement
1551378,Damian,Taylor,2011-12-13,Male,"Flat 78m
Sally mall
Daviesmouth
G6T 3BF",Historic,Cooke-Robson School,(020)74960804,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-01-04,2021-12-09
6319532,Leanne,Clarke,2014-07-28,Female,"639 Adam glens
Lake Stephenbury
B86 0LF",Historic,"Allan, School",01214960376,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-01-19,2021-01-31
9199977,Geraldine,Kerr,2006-08-14,Female,"Flat 46
Evans lock
Justinchester
N2 4EG",Current,"Green, School",+44121 496 0491,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-05-28,2022-09-13
5150350,Diane,James,2007-10-02,Female,"Flat 84V
Owen forest
Lindseymouth
BL5 6LR",Current,Taylor-Harris School,+44(0)292018084,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-01-02,2020-06-20
7146487,Samuel,Cooper,2012-01-07,Male,"95 Evans park
Lake Mark
HP83 8QH",Current,Austin School,+44114 4960768,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-02-11,2021-10-22
9251755,Kirsty,Pratt,2006-06-29,Female,"Flat 0
Pope vista
Pageshire
MK8N 6WX",Current,"Smith, School",(0114) 496 0845,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-03-18,2022-02-21
1700977,Katherine,Tucker,2006-10-07,Female,"55 Francis neck
Port Marianbury
HP8R 0GH",Historic,Hughes School,+44113 496 0439,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-08-17,2021-01-24
8259801,Maureen,Smith,2008-06-23,Female,"Flat 43
Smart gateway
Lake Charlieport
W1G 4ZZ",Current,Osborne-Robertson School,020 7946 0181,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-02-07,2022-09-04
8699373,Eileen,Bibi,2015-11-09,Female,"Flat 36
Parry knolls
Lloydton
ZE34 3GG",Current,Hall-Jones School,(028)9018460,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-08-23,2021-09-26
1455911,Marie,Edwards,2014-04-10,Female,"42 Jordan mill
Bartlettshire
WC9 8YS",Current,"Berry, School",020 74960758,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-04-02,2018-05-25
7076664,Helen,Bryant,2008-08-07,Female,"Studio 46
Bradley pines
Kennethtown
KY7W 8AG",Not Specified,Kirk-Stephenson School,+441414960869,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-02-23,2022-03-03
1624210,Marie,Hughes,2009-12-29,Female,"26 Bernard tunnel
Port Hannahmouth
W5 0YB",Historic,Smith-Richards School,+44(0)1214960844,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-07-29,2021-02-06
4630182,Iain,Mitchell,2011-05-25,Male,"68 Jade extension
Lyonsfurt
BB72 2YP",Historic,"Carter, School",+441632 960869,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-05-25,2022-01-02
7195043,Malcolm,Allen,2011-03-06,Male,"Flat 18
Singh port
Kirstyberg
E5C 6DS",Historic,Robinson-Rhodes School,+441214960130,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-02-25,2019-12-09
2598401,Brandon,Herbert,2008-09-08,Male,"Studio 79i
Adams circles
Lake Helen
WR5 5PW",Historic,Fox School,029 2018075,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-04-08,2020-02-18
3775923,Daniel,Dickinson,2011-05-30,Male,"Flat 08z
Simpson port
New Reece
LA8N 7RG",Not Specified,Jones-Smith School,+44(0)292018723,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-01-22,2022-02-23
2939165,Teresa,Lawrence,2008-08-16,Other,"Studio 6
Carolyn viaduct
O'Brienside
BT6 7EQ",Current,"Smith, School",0121 4960666,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-05-15,2018-08-19
8432687,Louise,Ford,2015-02-14,Female,"Studio 73
Jayne grove
South Russell
L15 7FE",Historic,Preston School,+44(0)117 4960049,test,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-08-26,2021-01-29
